,Phone Name,New Price,Old Price,Brand Name
0,"Infinix Smart 6, 6.6"", 2GB RAM, 32GB, 5000mAh,Polar Black","KSh 10,299","KSh 13,053",Infinix
1,"Tecno Pop 6 6.1"", 2GB RAM+32GB, 8MP, 4G (Dual Sim) 5000MAh -Lime Green","KSh 8,819","KSh 13,499",Tecno
2,"XIAOMI Redmi 9A, 6.53"", 2GB+32GB, 13.0MP, 5000mAh, 4G LTE, Dual SIM - Grey","KSh 11,499","KSh 12,499",XIAOMI
3,"XIAOMI Redmi 10C, 6.53'', [4GB RAM + 64GB], 4G, DUAL SIM + 8 FREE GIFTS","KSh 17,499","KSh 23,999",XIAOMI
4,"Infinix Smart 6, 6.6"", 32GB + 2GB RAM (Dual SIM), 5000mAh, Quartz Cyan","KSh 10,696","KSh 18,999",Infinix
5,"Oppo A83 64GB + 4GB RAM - 4G LTE Dual SIM -  5.7-inch,Red","KSh 9,990","KSh 19,980",Oppo
6,XIAOMI Redmi 10 6.5'' Inches 4+128GB 50MP Rear Camera 4G Smartphone - Grey,"KSh 18,799","KSh 24,049",XIAOMI
7,"XIAOMI Redmi 10A, 6.53"", 3GB+64GB, 13.0MP, 5000mAh, 4G LTE, Dual SIM - Graphite Grey","KSh 14,799","KSh 16,199",XIAOMI
8,"Samsung Galaxy A13, 6.6"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Black","KSh 19,299","KSh 24,521",Samsung
9,"Nokia C1 2nd Edition, 5.45"", 1GB +16GB - (DUAL SIM),Android 11, Blue","KSh 7,139","KSh 10,999",Nokia
10,"Oppo A16k, 6.52"", 32GB + 3GB RAM (Dual SIM), 4230mAh - Blue","KSh 14,278","KSh 17,999",Oppo
11,"Tecno Pova Neo, 6.8"", 64GB+ 4GB (Dual SIM),4G LTE, 6000mAh, Obsidian Black","KSh 15,999","KSh 20,129",Tecno
12,"Itel A14 Plus, 4"", 8GB + 1GB RAM, 2500mAh - Blue","KSh 4,443","KSh 4,999",Itel
13,"Samsung Galaxy A13, 6.6"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Blue","KSh 19,299","KSh 24,521",Samsung
14,"Tecno Pop 6 GO, 6"", 32GB + 2GB RAM ,(Dual SIM), 4000mAh,  + CLASSIC GIFTS","KSh 9,445","KSh 11,199",Tecno
15,"Samsung Galaxy A13, 6.6"", 128GB + 4GB RAM (Dual SIM), 5000mAh, Black","KSh 21,699","KSh 27,571",Samsung
16,"Oppo A83 64GB + 4GB RAM - 4G LTE Dual SIM -  5.7-inch,Black","KSh 9,790","KSh 19,980",Oppo
17,"Tecno CAMON 19, 6.8"", 128GB+ 4GB (Dual SIM), (4G LTE) 5000mAh, MEMPHIS GREEN","KSh 22,846","KSh 29,999",Tecno
18,"XIAOMI Redmi 9C 6.53'', 4GB+128GB, 13MP+2MP+2MP Camera, 4G, Dual SIM - Lavender Purple","KSh 16,299","KSh 21,999",XIAOMI
19,"Samsung Galaxy A23, 6.6″, 64GB + 4GB RAM (Dual SIM), 5000mAh, Blue","KSh 22,499","KSh 28,669",Samsung
20,"Tecno CAMON 19, 6.8"", 128GB+ 4GB (Dual SIM), (4G LTE) 5000mAh, Eco Black","KSh 22,499","KSh 23,999",Tecno
21,"Samsung Galaxy A03 Core, 6.5"" 32GB + 2G, 5000mAh,Dual Sim- (Black) Onyx","KSh 11,699","KSh 14,858",Samsung
22,"Samsung Galaxy A03, 6.5"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Black","KSh 15,299","KSh 19,397",Samsung
23,"XIAOMI Redmi A1+, 6.52"",( 32GB + 2GB),  5000mAh, 4G LTE, (Dual SIM) -  BLACK","KSh 10,345","KSh 14,999",XIAOMI
24,"Infinix HOT 12i, 6.6''{ 64GB+2GB Expandable To 4GBRAM} (Dual SIM), 4G LTE, 5000mAh,black","KSh 12,995","KSh 19,999",Infinix
25,"Tecno CAMON 19, 6.8"", 128GB+ 4GB (Dual SIM), (4G LTE) 5000mAh, Eco Black","KSh 22,599","KSh 27,999",Tecno
26,"Tecno Spark 8C, 6.6"", 64GB + 2GB RAM (Dual SIM), 5000mAh, Turquoise Cyan","KSh 12,999","KSh 16,347",Tecno
27,"Samsung Galaxy A03 6.5"" 3GB RAM+32GB ROM 48 MP //Dual SIM-Blue+FREE EARBUDS+C+W","KSh 13,990","KSh 17,999",Samsung
28,"XIAOMI Redmi 9C 6.53'', 4GB+128GB, 13MP+2MP+2MP Camera, 4G, Dual SIM - Aurora Green","KSh 16,499","KSh 20,499",XIAOMI
29,"Infinix Smart 6, 6.6"", 32GB + 2GB RAM (Dual SIM), 5000mAh +FREE GIFTS","KSh 11,100","KSh 11,499",Infinix
30,"XIAOMI Redmi 10C 6.71'', 4GB+128GB, 50MP+2MP Camera, 4G, Dual SIM - Blue","KSh 19,099","KSh 21,999",XIAOMI
31,"Itel A33 Plus,,5.0"" Screen Display(16GB+1GB),Fingerprint,(Dual Sim) Blue,,w.s""","KSh 6,160","KSh 10,000",Itel
32,"XIAOMI Redmi 9A 6.53"", 2GB RAM+32GB, 5000mAh, Dual SIM, 4G LTE - Glacial Blue","KSh 11,499","KSh 12,499",XIAOMI
33,"Samsung Galaxy A13, 6.6"", 128GB + 4GB (Dual SIM), Blue + Smart Watch & Power Bank","KSh 22,997","KSh 32,999",Samsung
34,"Tecno Spark 8C 6.6"" 64GB+ 2GB RAM Dual Sim, Black + Smart Watch + P.Bank","KSh 13,898","KSh 25,898",Tecno
35,"Ulefone Note 6, 6.1"", 32GB + 1GB RAM (Dual SIM), 3300mAh, Black","KSh 7,599","KSh 11,999",Ulefone
36,"Itel A58 Lite, 6.3"", 32GB + 2GB RAM (Dual SIM), 4000mAh, Blue Wave","KSh 8,255","KSh 8,999",Itel
37,"Samsung Galaxy A03, 6.5"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Blue","KSh 15,299","KSh 19,397",Samsung
38,Nokia G21 – 6.5″ – 128GB + 4GB – Dual SIM Nordic Blue,"KSh 18,900","KSh 27,999",Nokia
39,"Nokia 106: 1.8"" Display: [4MB RAM + 4MB ROM]: (Dual Sim) :Black","KSh 1,567","KSh 2,599",Nokia
